CODIGO_CATEGORIA|NOMBRE_CATEGORIA|CODIGO_AGRUPACION|NOMBRE_AGRUPACION|CODIGO_LISTA|NOMBRE_LISTA
001002077000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Merlo|137|CONSENSO FEDERAL|001002077000000.137.D.001002077000000.137|GENTE PROGRESISTA - Ricardo Zanotti
001002077000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Merlo|137|CONSENSO FEDERAL|001002077000000.137.B.001002077000000.137|ACUERDO PROGRESISTA - Osvaldo Martino
001002077000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Merlo|02-865|FRENTE PATRIOTA|001002077000000.02-865.A.001002077000000.02-865|LEALTAD - Eduardo Cortina
001002077000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Merlo|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002077000000.02-276.1A.001002077000000.02-276|UNIDAD DE LA IZQUIERDA - Sabrina Acuña
001002077000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Merlo|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002077000000.02-309.A.001002077000000.02-309|AZUL Y BLANCO - Diego Vitarello
001002077000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Merlo|02-821|A. VECINALISTA PROYECTO LOCAL MERLENSE|001002077000000.02-821.A.001002077000000.02-821|PROYECTO LOCAL MERLENSE - Gustavo Leiva
001002078000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Monte|135|JUNTOS POR EL CAMBIO|001002078000000.135.3A.001002078000000.135|3A - ROJO - Jose Castro
001002078000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Monte|135|JUNTOS POR EL CAMBIO|001002078000000.135.1A.001002078000000.135|1A - AMARILLO - Sandra Ferrandi
001002078000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Monte|02-503|FRENTE DE TODOS|001002078000000.02-503.2.001002078000000.02-503|CELESTE Y BLANCA - 2 - Sandra Mayol
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|135|JUNTOS POR EL CAMBIO|001002079000000.135.1A.001002079000000.135|1A - AMARILLO - Anibal Asseff
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.12.001002079000000.02-503|CELESTE Y BLANCA - 12 - Jose Barreiro
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.4.001002079000000.02-503|CELESTE Y BLANCA - 4 - Jorge Correa
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.10.001002079000000.02-503|CELESTE Y BLANCA - 10 - Damián Raúl Contreras
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.6.001002079000000.02-503|CELESTE Y BLANCA - 6 - Cintia Gonzalez
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.14.001002079000000.02-503|CELESTE Y BLANCA - 14 - Melina Fernandez
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.2.001002079000000.02-503|CELESTE Y BLANCA - 2 - Walter Festa
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-503|FRENTE DE TODOS|001002079000000.02-503.8.001002079000000.02-503|CELESTE Y BLANCA - 8 - Teodoro Vera
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-816|PARTIDO DIGNIDAD POPULAR|001002079000000.02-816.1A.001002079000000.02-816|POR LA VIDA - Alejandro Papotti
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-816|PARTIDO DIGNIDAD POPULAR|001002079000000.02-816.2B.001002079000000.02-816|LIBERACION NACIONAL - Angel Hermoso
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-816|PARTIDO DIGNIDAD POPULAR|001002079000000.02-816.3C.001002079000000.02-816|ACCIÓN VECINAL - Horacio Salinas
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-244|PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES|001002079000000.02-244.A.001002079000000.02-244|LEALTAD - Nestor Quintero
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-1911|FRENTE NOS|001002079000000.02-1911.A.001002079000000.02-1911|LINEA ÚNICA - David Mansilla
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-1911|FRENTE NOS|001002079000000.02-1911.B.001002079000000.02-1911|ALTERNATIVA - Horacio Sotomayor
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002079000000.133.A.001002079000000.133|UNIDAD - Oscar Dario
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|137|CONSENSO FEDERAL|001002079000000.137.B.001002079000000.137|GENTE PROGRESISTA - Isidro Encina
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|137|CONSENSO FEDERAL|001002079000000.137.A.001002079000000.137|HAY CONSENSO - Griselda Alvarez
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-865|FRENTE PATRIOTA|001002079000000.02-865.A.001002079000000.02-865|LEALTAD - Oscar Daniel
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002079000000.02-276.1A.001002079000000.02-276|UNIDAD DE LA IZQUIERDA - Soledad Yapura
001002079000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moreno|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002079000000.02-309.A.001002079000000.02-309|AZUL Y BLANCO - Raul Franco
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|135|JUNTOS POR EL CAMBIO|001002080000000.135.1A.001002080000000.135|1A - AMARILLO - Ramiro Tagliaferro
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-503|FRENTE DE TODOS|001002080000000.02-503.14.001002080000000.02-503|CELESTE Y BLANCA - 14 - Oscar Solito
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-503|FRENTE DE TODOS|001002080000000.02-503.2.001002080000000.02-503|CELESTE Y BLANCA - 2 - Lucas Ghi
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-816|PARTIDO DIGNIDAD POPULAR|001002080000000.02-816.1A.001002080000000.02-816|POR LA VIDA - Juan Flores
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-207|PARTIDO HUMANISTA|001002080000000.02-207.A.001002080000000.02-207|NARANJA - Carlos De Luca
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-1911|FRENTE NOS|001002080000000.02-1911.A.001002080000000.02-1911|LINEA ÚNICA - Carlos Fernandez
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002080000000.133.A.001002080000000.133|UNIDAD - José Sebriano
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|137|CONSENSO FEDERAL|001002080000000.137.A.001002080000000.137|HAY CONSENSO - Cassese Marina
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|137|CONSENSO FEDERAL|001002080000000.137.B.001002080000000.137|HAY ALTERNATIVA - Nestor Zarate
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002080000000.02-276.1A.001002080000000.02-276|UNIDAD DE LA IZQUIERDA - Andrea Dopazo
001002080000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Moron|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002080000000.02-309.A.001002080000000.02-309|AZUL Y BLANCO - Eugenio Ganduglia
001002081000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Navarro|135|JUNTOS POR EL CAMBIO|001002081000000.135.1A.001002081000000.135|1A - AMARILLO - Alfredo Castellari
001002081000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Navarro|02-503|FRENTE DE TODOS|001002081000000.02-503.2.001002081000000.02-503|CELESTE Y BLANCA - 2 - Santiago Maggiotti
001002081000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Navarro|137|CONSENSO FEDERAL|001002081000000.137.A.001002081000000.137|HAY CONSENSO - Juan Terrile
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|135|JUNTOS POR EL CAMBIO|001002082000000.135.3A.001002082000000.135|3A - ROJO - Gonzalo Diez
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|135|JUNTOS POR EL CAMBIO|001002082000000.135.1A.001002082000000.135|1A - AMARILLO - Arturo Rojas
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|02-503|FRENTE DE TODOS|001002082000000.02-503.2.001002082000000.02-503|CELESTE Y BLANCA - 2 - Facundo López
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|02-816|PARTIDO DIGNIDAD POPULAR|001002082000000.02-816.1A.001002082000000.02-816|POR LA VIDA - Leonardo Castro
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|02-1911|FRENTE NOS|001002082000000.02-1911.A.001002082000000.02-1911|LINEA ÚNICA - Gustavo Sierra
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002082000000.133.A.001002082000000.133|UNIDAD - Carlos Mancino
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|137|CONSENSO FEDERAL|001002082000000.137.A.001002082000000.137|HAY CONSENSO - Daniel Pascual
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|137|CONSENSO FEDERAL|001002082000000.137.B.001002082000000.137|CONSENSO FEDERAL 2030 - Maria Steffen
001002082000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Necochea|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002082000000.02-309.A.001002082000000.02-309|AZUL Y BLANCO - Leonardo Giorgetti
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|135|JUNTOS POR EL CAMBIO|001002083000000.135.1A.001002083000000.135|1A - AMARILLO - Mariano Barroso
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|02-503|FRENTE DE TODOS|001002083000000.02-503.6.001002083000000.02-503|CELESTE Y BLANCA - 6 - Juan Parise
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|02-503|FRENTE DE TODOS|001002083000000.02-503.8.001002083000000.02-503|CELESTE Y BLANCA - 8 - Jose Giuliodoro
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|02-503|FRENTE DE TODOS|001002083000000.02-503.10.001002083000000.02-503|CELESTE Y BLANCA - 10 - Mauro Esteban
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|02-503|FRENTE DE TODOS|001002083000000.02-503.4.001002083000000.02-503|CELESTE Y BLANCA - 4 - Rodriguez Grillo
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002083000000.133.A.001002083000000.133|UNIDAD - Dario Lanieri
001002083000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido 9 de Julio|137|CONSENSO FEDERAL|001002083000000.137.A.001002083000000.137|HAY CONSENSO - Walter Battistella
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|135|JUNTOS POR EL CAMBIO|001002084000000.135.1A.001002084000000.135|1A - AMARILLO - Ezequiel Galli
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|02-503|FRENTE DE TODOS|001002084000000.02-503.2.001002084000000.02-503|CELESTE Y BLANCA - 2 - Federico Aguilera
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|02-1911|FRENTE NOS|001002084000000.02-1911.A.001002084000000.02-1911|LINEA ÚNICA - Mariano Lara
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002084000000.133.A.001002084000000.133|UNIDAD - Yessica Almeida
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|137|CONSENSO FEDERAL|001002084000000.137.A.001002084000000.137|HAY CONSENSO - José Eseverri
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|02-828|POR OLAVARRIA TODOS-POT|001002084000000.02-828.A.001002084000000.02-828|POR OLAVARRIA TODOS - Guillermo Perez
001002084000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Olavarria|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002084000000.02-276.1A.001002084000000.02-276|UNIDAD DE LA IZQUIERDA - Marcos Hoffer
001002085000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pehuajo|135|JUNTOS POR EL CAMBIO|001002085000000.135.1A.001002085000000.135|1A - AMARILLO - Juan Cumba
001002085000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pehuajo|135|JUNTOS POR EL CAMBIO|001002085000000.135.3A.001002085000000.135|3A - ROJO - Pedro Goldenberg
001002085000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pehuajo|02-503|FRENTE DE TODOS|001002085000000.02-503.2.001002085000000.02-503|CELESTE Y BLANCA - 2 - Pablo Zurro
001002086000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pellegrini|135|JUNTOS POR EL CAMBIO|001002086000000.135.1A.001002086000000.135|1A - AMARILLO - Guillermo Pacheco
001002086000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pellegrini|02-503|FRENTE DE TODOS|001002086000000.02-503.2.001002086000000.02-503|CELESTE Y BLANCA - 2 - María Iglesias
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|135|JUNTOS POR EL CAMBIO|001002087000000.135.1A.001002087000000.135|1A - AMARILLO - Javier Martinez
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|02-503|FRENTE DE TODOS|001002087000000.02-503.6.001002087000000.02-503|CELESTE Y BLANCA - 6 - Ruggeri Riky
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|02-503|FRENTE DE TODOS|001002087000000.02-503.8.001002087000000.02-503|CELESTE Y BLANCA - 8 - Jose Agudo
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|02-503|FRENTE DE TODOS|001002087000000.02-503.10.001002087000000.02-503|CELESTE Y BLANCA - 10 - Manuel Elias
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|02-503|FRENTE DE TODOS|001002087000000.02-503.4.001002087000000.02-503|CELESTE Y BLANCA - 4 - Maria Ball
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|02-816|PARTIDO DIGNIDAD POPULAR|001002087000000.02-816.1A.001002087000000.02-816|POR LA VIDA - Maximo Luna
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002087000000.133.A.001002087000000.133|UNIDAD - Oscar Tesone
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|137|CONSENSO FEDERAL|001002087000000.137.A.001002087000000.137|HAY CONSENSO - Hector Gutierrez
001002087000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pergamino|137|CONSENSO FEDERAL|001002087000000.137.B.001002087000000.137|HAY ALTERNATIVA - Enrique Schierloh
001002088000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pila|135|JUNTOS POR EL CAMBIO|001002088000000.135.1A.001002088000000.135|1A - AMARILLO - Claudio Etchemendy
001002088000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pila|02-503|FRENTE DE TODOS|001002088000000.02-503.2.001002088000000.02-503|CELESTE Y BLANCA - 2 - Gustavo Walker
001002088000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pila|137|CONSENSO FEDERAL|001002088000000.137.A.001002088000000.137|HAY CONSENSO - Pablo Jurado
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|135|JUNTOS POR EL CAMBIO|001002089000000.135.1A.001002089000000.135|1A - AMARILLO - Ducoté Nico
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-503|FRENTE DE TODOS|001002089000000.02-503.2.001002089000000.02-503|CELESTE Y BLANCA - 2 - Federico De Chaval
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-816|PARTIDO DIGNIDAD POPULAR|001002089000000.02-816.1A.001002089000000.02-816|POR LA VIDA - Carlos Duran
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-816|PARTIDO DIGNIDAD POPULAR|001002089000000.02-816.3C.001002089000000.02-816|ACCIÓN VECINAL - Cesar Motenegro
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-244|PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES|001002089000000.02-244.A.001002089000000.02-244|LEALTAD - Hector Altamira
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-1911|FRENTE NOS|001002089000000.02-1911.A.001002089000000.02-1911|LINEA ÚNICA - Sergio Patt
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-1911|FRENTE NOS|001002089000000.02-1911.B.001002089000000.02-1911|ALTERNATIVA - Jorge Simmermacher
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-833|ENCUENTRO PILARENSE|001002089000000.02-833.A.001002089000000.02-833|ALTERNATIVA VECINAL - Gabriel Lagomarsino
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002089000000.133.A.001002089000000.133|UNIDAD - Natalia Espasa
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|137|CONSENSO FEDERAL|001002089000000.137.B.001002089000000.137|GENTE PROGRESISTA - Daniel Libere
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|137|CONSENSO FEDERAL|001002089000000.137.A.001002089000000.137|HAY CONSENSO - Hugo Aguero
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002089000000.02-276.1A.001002089000000.02-276|UNIDAD DE LA IZQUIERDA - Maria Arguello
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002089000000.02-309.A.001002089000000.02-309|AZUL Y BLANCO - Alfredo Jungblut
001002089000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pilar|02-874|JUNTOS POR PILAR|001002089000000.02-874.A.001002089000000.02-874|JUNTOS POR PILAR - Adrian Pavan
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|135|JUNTOS POR EL CAMBIO|001002090000000.135.1A.001002090000000.135|1A - AMARILLO - Martin Yeza
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-503|FRENTE DE TODOS|001002090000000.02-503.12.001002090000000.02-503|CELESTE Y BLANCA - 12 - Maria Rodriguez
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-503|FRENTE DE TODOS|001002090000000.02-503.4.001002090000000.02-503|CELESTE Y BLANCA - 4 - Gregorio Estanga
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-503|FRENTE DE TODOS|001002090000000.02-503.14.001002090000000.02-503|CELESTE Y BLANCA - 14 - Dardo Cambre
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-503|FRENTE DE TODOS|001002090000000.02-503.6.001002090000000.02-503|CELESTE Y BLANCA - 6 - Matias Melia
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-503|FRENTE DE TODOS|001002090000000.02-503.8.001002090000000.02-503|CELESTE Y BLANCA - 8 - Horacio Errasquin
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-816|PARTIDO DIGNIDAD POPULAR|001002090000000.02-816.1A.001002090000000.02-816|POR LA VIDA - Matias Aranciaga
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-737|PROPIN-PROPUESTA PINAMAR|001002090000000.02-737.B.001002090000000.02-737|UNIDOS POR PINAMAR - Alejo Amendolara
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|02-737|PROPIN-PROPUESTA PINAMAR|001002090000000.02-737.A.001002090000000.02-737|TRABAJO Y TRANSPARENCIA - Marcos Guerrero
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002090000000.133.A.001002090000000.133|UNIDAD - Sonia Omar
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|137|CONSENSO FEDERAL|001002090000000.137.A.001002090000000.137|HAY CONSENSO - Gabriela Mulet
001002090000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Pinamar|137|CONSENSO FEDERAL|001002090000000.137.B.001002090000000.137|ACUERDO PROGRESISTA - Augusto Urrizola
001002091000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Puan|135|JUNTOS POR EL CAMBIO|001002091000000.135.1A.001002091000000.135|1A - AMARILLO - Facundo Castelli
001002091000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Puan|02-503|FRENTE DE TODOS|001002091000000.02-503.8.001002091000000.02-503|CELESTE Y BLANCA - 8 - Vanesa Vergara
001002091000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Puan|02-503|FRENTE DE TODOS|001002091000000.02-503.4.001002091000000.02-503|CELESTE Y BLANCA - 4 - Débora Fernández
001002091000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Puan|02-503|FRENTE DE TODOS|001002091000000.02-503.6.001002091000000.02-503|CELESTE Y BLANCA - 6 - Dario Rueda
001002091000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Puan|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002091000000.133.A.001002091000000.133|UNIDAD - Karina Losada
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|135|JUNTOS POR EL CAMBIO|001002092000000.135.1A.001002092000000.135|1A - AMARILLO - Martiniano Molina
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-503|FRENTE DE TODOS|001002092000000.02-503.8.001002092000000.02-503|CELESTE Y BLANCA - 8 - Matias Festucca
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-503|FRENTE DE TODOS|001002092000000.02-503.6.001002092000000.02-503|CELESTE Y BLANCA - 6 - Gutierrez Francisco
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-503|FRENTE DE TODOS|001002092000000.02-503.12.001002092000000.02-503|CELESTE Y BLANCA - 12 - Luis Bratti
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-503|FRENTE DE TODOS|001002092000000.02-503.14.001002092000000.02-503|CELESTE Y BLANCA - 14 - Alejandro De Fazio
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-503|FRENTE DE TODOS|001002092000000.02-503.4.001002092000000.02-503|CELESTE Y BLANCA - 4 - Mendoza Mayra
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-503|FRENTE DE TODOS|001002092000000.02-503.10.001002092000000.02-503|CELESTE Y BLANCA - 10 - Roberto Gaudio
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-816|PARTIDO DIGNIDAD POPULAR|001002092000000.02-816.2B.001002092000000.02-816|LIBERACION NACIONAL - Ramon Ganduglia
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-816|PARTIDO DIGNIDAD POPULAR|001002092000000.02-816.1A.001002092000000.02-816|POR LA VIDA - Juan Barrionuevo
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-244|PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES|001002092000000.02-244.A.001002092000000.02-244|LEALTAD - Marcelo Iglesias
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-207|PARTIDO HUMANISTA|001002092000000.02-207.A.001002092000000.02-207|NARANJA - German Gonzalez
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-1911|FRENTE NOS|001002092000000.02-1911.A.001002092000000.02-1911|LINEA ÚNICA - Fernando Alberozzi
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|133|FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD|001002092000000.133.A.001002092000000.133|UNIDAD - Carla Lacorte
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|137|CONSENSO FEDERAL|001002092000000.137.A.001002092000000.137|HAY CONSENSO - Walter Di Giuseppe
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|137|CONSENSO FEDERAL|001002092000000.137.C.001002092000000.137|GENTE PROGRESISTA - Fernando Perez
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|79|PARTIDO RENOVADOR FEDERAL|001002092000000.79.A.001002092000000.79|SOMOS RENOVADORES - Hernan Garcia
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-276|MOVIMIENTO DE AVANZADA SOCIALISTA|001002092000000.02-276.1A.001002092000000.02-276|UNIDAD DE LA IZQUIERDA - Luis Di Bartolo
001002092000000|Intendente, Concejales, Consejeros Escolares Buenos Aires - Partido Quilmes|02-309|MOVIMIENTO ORGANIZACION DEMOCRATICA|001002092000000.02-309.A.001002092000000.02-309|AZUL Y BLANCO - Mariano Casado
